seed,opponent,architecture,final_money,opponent_final_money,margin,win,total_purchase_spend,spend_hires,spend_seeds,spend_wheat,spend_animals,spend_land,spend_fertilizer,average_cash,minimum_cash,cash_day_5,cash_day_9,cash_day_11,cash_day_13,cash_day_20,cash_day_28,capital_efficiency,land_purchases,ne_unlock_day,sw_unlock_day,animal_purchases,seed_purchases,critical_wheat_purchases,feed_failures,shed_overflow_events,endgame_unsold_inventory,turns_with_slot_pressure,diverged_turns,changed_selection_turns,execution_reorder_only_turns,p0_inversions,suppressed_candidates_total
115,starter,historical_candidates_central,67441.0,3572.0,63869.0,1,82501.0,75450.0,1702.0,2749.0,600.0,2000.0,0.0,21893.58,303.0,947.0,516.0,2674.0,17140.0,26186.0,61033.0,0.8175,1,6,,2,154,84,0,2,0,6,7,3,4,0,57
115,starter,historical_stack,67146.0,3572.0,63574.0,1,82501.0,75450.0,1702.0,2749.0,600.0,2000.0,0.0,21706.61,303.0,947.0,516.0,2674.0,15521.0,26221.0,60590.0,0.8139,1,6,,2,154,84,0,2,0,0,0,0,0,0,57
116,random,historical_candidates_central,67824.0,0.0,67824.0,1,82274.0,75450.0,1675.0,2549.0,600.0,2000.0,0.0,22171.17,303.0,947.0,500.0,2510.0,15621.0,27164.0,62012.0,0.8244,1,6,,2,154,80,0,2,0,10,9,4,5,0,61
116,random,historical_stack,68329.0,0.0,68329.0,1,82278.0,75450.0,1679.0,2549.0,600.0,2000.0,0.0,22031.94,303.0,947.0,500.0,2557.0,15605.0,26898.0,62140.0,0.8305,1,6,,2,156,80,0,2,0,0,0,0,0,0,60
116,starter,historical_candidates_central,72122.0,3437.0,68685.0,1,82274.0,75450.0,1675.0,2549.0,600.0,2000.0,0.0,23049.17,303.0,947.0,500.0,2533.0,15688.0,27747.0,65528.0,0.8766,1,6,,2,154,80,0,2,0,10,9,4,5,0,61
116,starter,historical_stack,72026.0,3437.0,68589.0,1,82278.0,75450.0,1679.0,2549.0,600.0,2000.0,0.0,22881.44,303.0,947.0,500.0,2533.0,15688.0,27747.0,65134.0,0.8754,1,6,,2,156,80,0,2,0,0,0,0,0,0,60
117,random,historical_candidates_central,70473.0,0.0,70473.0,1,83328.0,75450.0,1710.0,3568.0,600.0,2000.0,0.0,23222.64,306.0,948.0,503.0,2767.0,16411.0,28384.0,63468.0,0.8457,1,6,,2,155,112,0,1,0,4,6,2,4,0,59
117,random,historical_stack,66230.0,0.0,66230.0,1,83058.0,75450.0,1700.0,3308.0,600.0,2000.0,0.0,21594.53,306.0,948.0,573.0,2764.0,14683.0,25824.0,60149.0,0.7974,1,6,,2,153,110,0,1,0,0,0,0,0,0,58
117,starter,historical_candidates_central,50521.0,3702.0,46819.0,1,82855.0,75450.0,1705.0,3100.0,600.0,2000.0,0.0,18758.25,306.0,948.0,573.0,2764.0,15984.0,23987.0,46948.0,0.6098,1,6,,2,154,110,0,1,0,7,7,2,5,0,58
117,starter,historical_stack,50605.0,3702.0,46903.0,1,82855.0,75450.0,1705.0,3100.0,600.0,2000.0,0.0,18640.92,306.0,948.0,573.0,2764.0,14601.0,24024.0,46985.0,0.6108,1,6,,2,154,110,0,1,0,0,0,0,0,0,58
118,random,historical_candidates_central,74583.0,0.0,74583.0,1,82201.0,75450.0,1658.0,2493.0,600.0,2000.0,0.0,23316.48,304.0,948.0,538.0,3217.0,17947.0,27929.0,65470.0,0.9073,1,6,,2,156,81,0,1,0,5,6,2,4,0,60
118,random,historical_stack,72403.0,0.0,72403.0,1,82277.0,75450.0,1702.0,2525.0,600.0,2000.0,0.0,22143.9,306.0,948.0,538.0,3165.0,15293.0,26892.0,59980.0,0.88,1,6,,2,163,81,0,0,0,0,0,0,0,0,65
118,starter,historical_candidates_central,72378.0,3449.0,68929.0,1,82342.0,75450.0,1707.0,2585.0,600.0,2000.0,0.0,22694.08,303.0,947.0,500.0,2483.0,18035.0,26694.0,64708.0,0.879,1,6,,2,155,80,0,2,0,8,7,3,4,0,58
118,starter,historical_stack,71200.0,3449.0,67751.0,1,82342.0,75450.0,1707.0,2585.0,600.0,2000.0,0.0,22429.47,303.0,947.0,500.0,2483.0,16694.0,26745.0,63636.0,0.8647,1,6,,2,155,80,0,2,0,0,0,0,0,0,58
119,random,historical_candidates_central,71165.0,0.0,71165.0,1,82912.0,75450.0,1707.0,3155.0,600.0,2000.0,0.0,23699.92,303.0,947.0,500.0,3086.0,18678.0,29580.0,64484.0,0.8583,1,6,,2,155,98,0,2,0,10,8,4,4,0,60
119,random,historical_stack,72717.0,0.0,72717.0,1,82273.0,75450.0,1702.0,2521.0,600.0,2000.0,0.0,23828.52,303.0,947.0,577.0,2906.0,16134.0,29301.0,66208.0,0.8839,1,6,,2,154,77,0,1,0,0,0,0,0,0,56
119,starter,historical_candidates_central,72372.0,3448.0,68924.0,1,82958.0,75450.0,1707.0,3201.0,600.0,2000.0,0.0,24085.25,303.0,947.0,500.0,3059.0,18706.0,30150.0,65680.0,0.8724,1,6,,2,155,98,0,2,0,10,8,4,4,0,60
119,starter,historical_stack,72654.0,3448.0,69206.0,1,82958.0,75450.0,1707.0,3201.0,600.0,2000.0,0.0,23950.5,303.0,947.0,500.0,3059.0,17816.0,30191.0,65692.0,0.8758,1,6,,2,155,98,0,3,0,0,0,0,0,0,60
120,random,historical_candidates_central,69635.0,0.0,69635.0,1,82204.0,75450.0,1691.0,2463.0,600.0,2000.0,0.0,23127.97,303.0,947.0,579.0,3353.0,15091.0,29046.0,62925.0,0.8471,1,6,,2,165,78,0,0,0,6,4,1,3,0,61
